No,Font Pairing Name,Category,Heading Font,Body Font,Mood/Style Keywords,Best For,Font Source,CSS Import,Tailwind Config,Notes
11,Geometric Modern,Sans + Sans,Outfit,Work Sans,"geometric, modern, clean, balanced, contemporary, versatile","General purpose, portfolios, agencies, modern brands, landing pages",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Outfit';src:url('/fonts/outfit.woff2') format('woff2');font-display:swap} @font-face{font-family:'Work Sans';src:url('/fonts/work-sans.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Outfit', 'sans-serif'], body: ['Work Sans', 'sans-serif'] }",Both geometric but Outfit more distinctive for headings.
12,Luxury Serif,Serif + Sans,Cormorant,Montserrat,"luxury, high-end, fashion, elegant, refined, premium","Fashion brands, luxury e-commerce, jewelry, high-end services",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Cormorant';src:url('/fonts/cormorant.woff2') format('woff2');font-display:swap} @font-face{font-family:'Montserrat';src:url('/fonts/montserrat.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Cormorant', 'serif'], sans: ['Montserrat', 'sans-serif'] }",Cormorant's elegance with Montserrat's geometric precision.
13,Friendly SaaS,Sans + Sans,Plus Jakarta Sans,Plus Jakarta Sans,"friendly, modern, saas, clean, approachable, professional","SaaS products, web apps, dashboards, B2B, productivity tools",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Plus Jakarta Sans';src:url('/fonts/plus-jakarta-sans.woff2') format('woff2');font-display:swap} @font-face{font-family:'Plus Jakarta Sans';src:url('/fonts/plus-jakarta-sans.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Plus Jakarta Sans', 'sans-serif'] }",Single versatile font. Modern alternative to Inter.
14,News Editorial,Serif + Sans,Newsreader,Roboto,"news, editorial, journalism, trustworthy, readable, informative","News sites, blogs, magazines, journalism, content-heavy sites",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Newsreader';src:url('/fonts/newsreader.woff2') format('woff2');font-display:swap} @font-face{font-family:'Roboto';src:url('/fonts/roboto.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Newsreader', 'serif'], sans: ['Roboto', 'sans-serif'] }",Newsreader designed for long-form reading. Roboto for UI.
15,Handwritten Charm,Script + Sans,Caveat,Quicksand,"handwritten, personal, friendly, casual, warm, charming","Personal blogs, invitations, creative portfolios, lifestyle brands",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Caveat';src:url('/fonts/caveat.woff2') format('woff2');font-display:swap} @font-face{font-family:'Quicksand';src:url('/fonts/quicksand.woff2') format('woff2');font-display:swap},"fontFamily: { script: ['Caveat', 'cursive'], sans: ['Quicksand', 'sans-serif'] }",Use Caveat sparingly for accents. Quicksand for body.
16,Corporate Trust,Sans + Sans,Lexend,Source Sans 3,"corporate, trustworthy, accessible, readable, professional, clean","Enterprise, government, healthcare, finance, accessibility-focused",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Lexend';src:url('/fonts/lexend.woff2') format('woff2');font-display:swap} @font-face{font-family:'Source Sans 3';src:url('/fonts/source-sans-3.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Lexend', 'sans-serif'], body: ['Source Sans 3', 'sans-serif'] }",Lexend designed for readability. Excellent accessibility.
17,Brutalist Raw,Mono + Mono,Space Mono,Space Mono,"brutalist, raw, technical, monospace, minimal, stark","Brutalist designs, developer portfolios, experimental, tech art",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Space Mono';src:url('/fonts/space-mono.woff2') format('woff2');font-display:swap} @font-face{font-family:'Space Mono';src:url('/fonts/space-mono.woff2') format('woff2');font-display:swap},"fontFamily: { mono: ['Space Mono', 'monospace'] }",All-mono for raw brutalist aesthetic. Limited weights.
18,Fashion Forward,Sans + Sans,Syne,Manrope,"fashion, avant-garde, creative, bold, artistic, edgy","Fashion brands, creative agencies, art galleries, design studios",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Syne';src:url('/fonts/syne.woff2') format('woff2');font-display:swap} @font-face{font-family:'Manrope';src:url('/fonts/manrope.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Syne', 'sans-serif'], body: ['Manrope', 'sans-serif'] }",Syne's unique character for headlines. Manrope for readability.
19,Soft Rounded,Sans + Sans,Varela Round,Nunito Sans,"soft, rounded, friendly, approachable, warm, gentle","Children's products, pet apps, friendly brands, wellness, soft UI",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Varela Round';src:url('/fonts/varela-round.woff2') format('woff2');font-display:swap} @font-face{font-family:'Nunito Sans';src:url('/fonts/nunito-sans.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Varela Round', 'sans-serif'], body: ['Nunito Sans', 'sans-serif'] }",Both rounded and friendly. Perfect for soft UI designs.
20,Premium Sans,Sans + Sans,Satoshi,General Sans,"premium, modern, clean, sophisticated, versatile, balanced","Premium brands, modern agencies, SaaS, portfolios, startups",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Satoshi';src:url('/fonts/satoshi.woff2') format('woff2');font-display:swap} @font-face{font-family:'General Sans';src:url('/fonts/general-sans.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['DM Sans', 'sans-serif'] }",Note: Satoshi/General Sans on Fontshare. DM Sans as Google alternative.
21,Vietnamese Friendly,Sans + Sans,Be Vietnam Pro,Noto Sans,"vietnamese, international, readable, clean, multilingual, accessible","Vietnamese sites, multilingual apps, international products",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Be Vietnam Pro';src:url('/fonts/be-vietnam-pro.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans';src:url('/fonts/noto-sans.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Be Vietnam Pro', 'Noto Sans', 'sans-serif'] }",Be Vietnam Pro excellent Vietnamese support. Noto as fallback.
22,Japanese Elegant,Serif + Sans,Noto Serif JP,Noto Sans JP,"japanese, elegant, traditional, modern, multilingual, readable","Japanese sites, Japanese restaurants, cultural sites, anime/manga",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Noto Serif JP';src:url('/fonts/noto-serif-jp.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans JP';src:url('/fonts/noto-sans-jp.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Noto Serif JP', 'serif'], sans: ['Noto Sans JP', 'sans-serif'] }",Noto fonts excellent Japanese support. Traditional + modern feel.
23,Korean Modern,Sans + Sans,Noto Sans KR,Noto Sans KR,"korean, modern, clean, professional, multilingual, readable","Korean sites, K-beauty, K-pop, Korean businesses, multilingual",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Noto Sans KR';src:url('/fonts/noto-sans-kr.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans KR';src:url('/fonts/noto-sans-kr.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Noto Sans KR', 'sans-serif'] }",Clean Korean typography. Single font with weight variations.
24,Chinese Traditional,Serif + Sans,Noto Serif TC,Noto Sans TC,"chinese, traditional, elegant, cultural, multilingual, readable","Traditional Chinese sites, cultural content, Taiwan/Hong Kong markets",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Noto Serif TC';src:url('/fonts/noto-serif-tc.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans TC';src:url('/fonts/noto-sans-tc.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Noto Serif TC', 'serif'], sans: ['Noto Sans TC', 'sans-serif'] }",Traditional Chinese character support. Elegant pairing.
25,Chinese Simplified,Sans + Sans,Noto Sans SC,Noto Sans SC,"chinese, simplified, modern, professional, multilingual, readable","Simplified Chinese sites, mainland China market, business apps",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Noto Sans SC';src:url('/fonts/noto-sans-sc.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans SC';src:url('/fonts/noto-sans-sc.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Noto Sans SC', 'sans-serif'] }",Simplified Chinese support. Clean modern look.
26,Arabic Elegant,Serif + Sans,Noto Naskh Arabic,Noto Sans Arabic,"arabic, elegant, traditional, cultural, RTL, readable","Arabic sites, Middle East market, Islamic content, bilingual sites",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Noto Naskh Arabic';src:url('/fonts/noto-naskh-arabic.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans Arabic';src:url('/fonts/noto-sans-arabic.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Noto Naskh Arabic', 'serif'], sans: ['Noto Sans Arabic', 'sans-serif'] }","RTL support. Naskh for traditional, Sans for modern Arabic."
27,Thai Modern,Sans + Sans,Noto Sans Thai,Noto Sans Thai,"thai, modern, readable, clean, multilingual, accessible","Thai sites, Southeast Asia, tourism, Thai restaurants",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Noto Sans Thai';src:url('/fonts/noto-sans-thai.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans Thai';src:url('/fonts/noto-sans-thai.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Noto Sans Thai', 'sans-serif'] }",Clean Thai typography. Excellent readability.
28,Hebrew Modern,Sans + Sans,Noto Sans Hebrew,Noto Sans Hebrew,"hebrew, modern, RTL, clean, professional, readable","Hebrew sites, Israeli market, Jewish content, bilingual sites",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Noto Sans Hebrew';src:url('/fonts/noto-sans-hebrew.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans Hebrew';src:url('/fonts/noto-sans-hebrew.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Noto Sans Hebrew', 'sans-serif'] }",RTL support. Clean modern Hebrew typography.
29,Legal Professional,Serif + Sans,EB Garamond,Lato,"legal, professional, traditional, trustworthy, formal, authoritative","Law firms, legal services, contracts, formal documents, government",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'EB Garamond';src:url('/fonts/eb-garamond.woff2') format('woff2');font-display:swap} @font-face{font-family:'Lato';src:url('/fonts/lato.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['EB Garamond', 'serif'], sans: ['Lato', 'sans-serif'] }",EB Garamond for authority. Lato for clean body text.
30,Medical Clean,Sans + Sans,Figtree,Noto Sans,"medical, clean, accessible, professional, healthcare, trustworthy","Healthcare, medical clinics, pharma, health apps, accessibility",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Figtree';src:url('/fonts/figtree.woff2') format('woff2');font-display:swap} @font-face{font-family:'Noto Sans';src:url('/fonts/noto-sans.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Figtree', 'sans-serif'], body: ['Noto Sans', 'sans-serif'] }","Clean, accessible fonts for medical contexts."
31,Financial Trust,Sans + Sans,IBM Plex Sans,IBM Plex Sans,"financial, trustworthy, professional, corporate, banking, serious","Banks, finance, insurance, investment, fintech, enterprise",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'IBM Plex Sans';src:url('/fonts/ibm-plex-sans.woff2') format('woff2');font-display:swap} @font-face{font-family:'IBM Plex Sans';src:url('/fonts/ibm-plex-sans.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['IBM Plex Sans', 'sans-serif'] }",IBM Plex conveys trust and professionalism. Excellent for data.
32,Real Estate Luxury,Serif + Sans,Cinzel,Josefin Sans,"real estate, luxury, elegant, sophisticated, property, premium","Real estate, luxury properties, architecture, interior design",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Cinzel';src:url('/fonts/cinzel.woff2') format('woff2');font-display:swap} @font-face{font-family:'Josefin Sans';src:url('/fonts/josefin-sans.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Cinzel', 'serif'], sans: ['Josefin Sans', 'sans-serif'] }",Cinzel's elegance for headlines. Josefin for modern body.
33,Restaurant Menu,Serif + Sans,Playfair Display SC,Karla,"restaurant, menu, culinary, elegant, foodie, hospitality","Restaurants, cafes, food blogs, culinary, hospitality",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Playfair Display SC';src:url('/fonts/playfair-display-sc.woff2') format('woff2');font-display:swap} @font-face{font-family:'Karla';src:url('/fonts/karla.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Playfair Display SC', 'serif'], sans: ['Karla', 'sans-serif'] }",Small caps Playfair for menu headers. Karla for descriptions.
34,Art Deco,Display + Sans,Poiret One,Didact Gothic,"art deco, vintage, 1920s, elegant, decorative, gatsby","Vintage events, art deco themes, luxury hotels, classic cocktails",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Poiret One';src:url('/fonts/poiret-one.woff2') format('woff2');font-display:swap} @font-face{font-family:'Didact Gothic';src:url('/fonts/didact-gothic.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Poiret One', 'sans-serif'], sans: ['Didact Gothic', 'sans-serif'] }",Poiret One for art deco headlines only. Didact for body.
35,Magazine Style,Serif + Sans,Libre Bodoni,Public Sans,"magazine, editorial, publishing, refined, journalism, print","Magazines, online publications, editorial content, journalism",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Libre Bodoni';src:url('/fonts/libre-bodoni.woff2') format('woff2');font-display:swap} @font-face{font-family:'Public Sans';src:url('/fonts/public-sans.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Libre Bodoni', 'serif'], sans: ['Public Sans', 'sans-serif'] }",Bodoni's editorial elegance. Public Sans for clean UI.
36,Crypto/Web3,Sans + Sans,Orbitron,Exo 2,"crypto, web3, futuristic, tech, blockchain, digital","Crypto platforms, NFT, blockchain, web3, futuristic tech",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Orbitron';src:url('/fonts/orbitron.woff2') format('woff2');font-display:swap} @font-face{font-family:'Exo 2';src:url('/fonts/exo-2.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Orbitron', 'sans-serif'], body: ['Exo 2', 'sans-serif'] }",Orbitron for futuristic headers. Exo 2 for readable body.
37,Gaming Bold,Display + Sans,Russo One,Chakra Petch,"gaming, bold, action, esports, competitive, energetic","Gaming, esports, action games, competitive sports, entertainment",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Russo One';src:url('/fonts/russo-one.woff2') format('woff2');font-display:swap} @font-face{font-family:'Chakra Petch';src:url('/fonts/chakra-petch.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Russo One', 'sans-serif'], body: ['Chakra Petch', 'sans-serif'] }",Russo One for impact. Chakra Petch for techy body text.
38,Indie/Craft,Display + Sans,Amatic SC,Cabin,"indie, craft, handmade, artisan, organic, creative","Craft brands, indie products, artisan, handmade, organic products",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Amatic SC';src:url('/fonts/amatic-sc.woff2') format('woff2');font-display:swap} @font-face{font-family:'Cabin';src:url('/fonts/cabin.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Amatic SC', 'sans-serif'], sans: ['Cabin', 'sans-serif'] }",Amatic for handwritten feel. Cabin for readable body.
39,Startup Bold,Sans + Sans,Clash Display,Satoshi,"startup, bold, modern, innovative, confident, dynamic","Startups, pitch decks, product launches, bold brands",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Clash Display';src:url('/fonts/clash-display.woff2') format('woff2');font-display:swap} @font-face{font-family:'Satoshi';src:url('/fonts/satoshi.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Outfit', 'sans-serif'], body: ['Rubik', 'sans-serif'] }",Note: Clash Display on Fontshare. Outfit as Google alternative.
40,E-commerce Clean,Sans + Sans,Rubik,Nunito Sans,"ecommerce, clean, shopping, product, retail, conversion","E-commerce, online stores, product pages, retail, shopping",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Rubik';src:url('/fonts/rubik.woff2') format('woff2');font-display:swap} @font-face{font-family:'Nunito Sans';src:url('/fonts/nunito-sans.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Rubik', 'sans-serif'], body: ['Nunito Sans', 'sans-serif'] }",Clean readable fonts perfect for product descriptions.
41,Academic/Research,Serif + Sans,Crimson Pro,Atkinson Hyperlegible,"academic, research, scholarly, accessible, readable, educational","Universities, research papers, academic journals, educational",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Crimson Pro';src:url('/fonts/crimson-pro.woff2') format('woff2');font-display:swap} @font-face{font-family:'Atkinson Hyperlegible';src:url('/fonts/atkinson-hyperlegible.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Crimson Pro', 'serif'], sans: ['Atkinson Hyperlegible', 'sans-serif'] }",Crimson for scholarly headlines. Atkinson for accessibility.
42,Dashboard Data,Mono + Sans,Fira Code,Fira Sans,"dashboard, data, analytics, code, technical, precise","Dashboards, analytics, data visualization, admin panels",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Fira Code';src:url('/fonts/fira-code.woff2') format('woff2');font-display:swap} @font-face{font-family:'Fira Sans';src:url('/fonts/fira-sans.woff2') format('woff2');font-display:swap},"fontFamily: { mono: ['Fira Code', 'monospace'], sans: ['Fira Sans', 'sans-serif'] }","Fira family cohesion. Code for data, Sans for labels."
43,Music/Entertainment,Display + Sans,Righteous,Poppins,"music, entertainment, fun, energetic, bold, performance","Music platforms, entertainment, events, festivals, performers",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Righteous';src:url('/fonts/righteous.woff2') format('woff2');font-display:swap} @font-face{font-family:'Poppins';src:url('/fonts/poppins.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Righteous', 'sans-serif'], sans: ['Poppins', 'sans-serif'] }",Righteous for bold entertainment headers. Poppins for body.
44,Minimalist Portfolio,Sans + Sans,Archivo,Space Grotesk,"minimal, portfolio, designer, creative, clean, artistic","Design portfolios, creative professionals, minimalist brands",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Archivo';src:url('/fonts/archivo.woff2') format('woff2');font-display:swap} @font-face{font-family:'Space Grotesk';src:url('/fonts/space-grotesk.woff2') format('woff2');font-display:swap},"fontFamily: { heading: ['Space Grotesk', 'sans-serif'], body: ['Archivo', 'sans-serif'] }",Space Grotesk for distinctive headers. Archivo for clean body.
45,Kids/Education,Display + Sans,Baloo 2,Comic Neue,"kids, education, playful, friendly, colorful, learning","Children's apps, educational games, kid-friendly content",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Baloo 2';src:url('/fonts/baloo-2.woff2') format('woff2');font-display:swap} @font-face{font-family:'Comic Neue';src:url('/fonts/comic-neue.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Baloo 2', 'sans-serif'], sans: ['Comic Neue', 'sans-serif'] }","Fun, playful fonts for children. Comic Neue is readable comic style."
46,Wedding/Romance,Script + Serif,Great Vibes,Cormorant Infant,"wedding, romance, elegant, script, invitation, feminine","Wedding sites, invitations, romantic brands, bridal",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Great Vibes';src:url('/fonts/great-vibes.woff2') format('woff2');font-display:swap} @font-face{font-family:'Cormorant Infant';src:url('/fonts/cormorant-infant.woff2') format('woff2');font-display:swap},"fontFamily: { script: ['Great Vibes', 'cursive'], serif: ['Cormorant Infant', 'serif'] }",Great Vibes for elegant accents. Cormorant for readable text.
47,Science/Tech,Sans + Sans,Exo,Roboto Mono,"science, technology, research, data, futuristic, precise","Science, research, tech documentation, data-heavy sites",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Exo';src:url('/fonts/exo.woff2') format('woff2');font-display:swap} @font-face{font-family:'Roboto Mono';src:url('/fonts/roboto-mono.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Exo', 'sans-serif'], mono: ['Roboto Mono', 'monospace'] }",Exo for modern tech feel. Roboto Mono for code/data.
48,Accessibility First,Sans + Sans,Atkinson Hyperlegible,Atkinson Hyperlegible,"accessible, readable, inclusive, WCAG, dyslexia-friendly, clear","Accessibility-critical sites, government, healthcare, inclusive design",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Atkinson Hyperlegible';src:url('/fonts/atkinson-hyperlegible.woff2') format('woff2');font-display:swap} @font-face{font-family:'Atkinson Hyperlegible';src:url('/fonts/atkinson-hyperlegible.woff2') format('woff2');font-display:swap},"fontFamily: { sans: ['Atkinson Hyperlegible', 'sans-serif'] }",Designed for maximum legibility. Excellent for accessibility.
49,Sports/Fitness,Sans + Sans,Barlow Condensed,Barlow,"sports, fitness, athletic, energetic, condensed, action","Sports, fitness, gyms, athletic brands, competition",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Barlow Condensed';src:url('/fonts/barlow-condensed.woff2') format('woff2');font-display:swap} @font-face{font-family:'Barlow';src:url('/fonts/barlow.woff2') format('woff2');font-display:swap},"fontFamily: { display: ['Barlow Condensed', 'sans-serif'], body: ['Barlow', 'sans-serif'] }",Condensed for impact headlines. Regular Barlow for body.
50,Luxury Minimalist,Serif + Sans,Bodoni Moda,Jost,"luxury, minimalist, high-end, sophisticated, refined, premium","Luxury minimalist brands, high-end fashion, premium products",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Bodoni Moda';src:url('/fonts/bodoni-moda.woff2') format('woff2');font-display:swap} @font-face{font-family:'Jost';src:url('/fonts/jost.woff2') format('woff2');font-display:swap},"fontFamily: { serif: ['Bodoni Moda', 'serif'], sans: ['Jost', 'sans-serif'] }",Bodoni's high contrast elegance. Jost for geometric body.
51,Tech/HUD Mono,Mono + Mono,Share Tech Mono,Fira Code,"tech, futuristic, hud, sci-fi, data, monospaced, precise","Sci-fi interfaces, developer tools, cybersecurity, dashboards",Self-host .woff2 (open-source licence) — no font CDN,@font-face{font-family:'Share Tech Mono';src:url('/fonts/share-tech-mono.woff2') format('woff2');font-display:swap} @font-face{font-family:'Fira Code';src:url('/fonts/fira-code.woff2') format('woff2');font-display:swap},"fontFamily: { hud: ['Share Tech Mono', 'monospace'], code: ['Fira Code', 'monospace'] }",Share Tech Mono has that classic sci-fi look.
